"","Manufacturer","Release_Date","Memory_Bandwidth","Memory_Speed","L2_Cache","Open_GL","Memory_Type","Resolution_WxH","Direct_X","Process","Memory","Shader","Memory_Bus","Dedicated","Integrated","Notebook_GPU","SLI_Crossfire"
"1","Nvidia","2009",64,1000,0,3.3,"GDDR3","2560x1600",10,55,1024,4,256,"Yes","No","No","Yes"
"7","AMD","2009",134.4,1050,0,3.3,"GDDR5","2560x1600",10.1,55,2048,4.1,256,"Yes","No","No","Yes"
"9","AMD","2014",160,1250,0,4.3,"GDDR5","4096x2160",11.2,28,2048,5,256,"Yes","No","No","Yes"
"12","Nvidia","2011",177.6,925,768,4.5,"GDDR5","2560x1600",12,40,6144,5,384,"Yes","No","No","Yes"
"13","Nvidia","2012",168,1050,1536,4.5,"GDDR5","4096x2160",12,28,5120,5,320,"Yes","No","No","No"
"14","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,12288,5,384,"Yes","No","No","Yes"
"18","Nvidia","2012",249.6,1300,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"21","Nvidia","2010",144,750,768,4.5,"GDDR5","2560x1600",12,40,6144,5,384,"Yes","No","No","No"
"22","Nvidia","2011",144,750,768,4.5,"GDDR5","2560x1600",12,40,6144,5,384,"Yes","No","No","No"
"27","Nvidia","2010",144,750,768,4.5,"GDDR5","2560x1600",12,40,3072,5,384,"Yes","No","No","No"
"47","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"54","Nvidia","2013",317.2,1652,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"58","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"61","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"63","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"64","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"65","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"66","Nvidia","2014",336,1750,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"67","AMD","2013",28.8,900,0,4.2,"DDR3","2560x1600",11,32,2048,5,128,"Yes","No","No","No"
"68","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"69","Nvidia","2013",288.4,1502,1536,4.5,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"103","AMD","2012",264,1375,0,4.2,"GDDR5","4096x2160",11.1,28,6144,5,384,"Yes","No","No","Yes"
"105","AMD","2012",153.6,1200,0,4.2,"GDDR5","4096x2160",11.1,28,4096,5,256,"Yes","No","No","Yes"
"107","AMD","2014",28.8,900,512,4.4,"DDR3","4096x2160",12,28,2048,5,128,"Yes","No","No","No"
"110","AMD","2011",128,1000,0,4.1,"GDDR5","2560x1600",11,40,2048,5,256,"Yes","No","No","Yes"
"112","AMD","2010",64,1000,0,4.2,"GDDR5","4096x2160",11.1,40,1024,5,128,"Yes","No","No","Yes"
"113","AMD","2008",28.8,900,0,3.3,"GDDR3","2560x1600",10.1,55,512,4.1,128,"Yes","No","No","No"
"114","AMD","2008",22.4,700,0,3.3,"GDDR3","2560x1600",10.1,55,256,4.1,128,"Yes","No","No","No"
"117","AMD","2014",264,1375,768,4.4,"GDDR5","4096x2160",12,28,12288,5,384,"Yes","No","No","Yes"
"118","AMD","2010",147.2,1150,0,4.1,"GDDR5","2560x1600",11,28,4096,5,256,"Yes","No","No","Yes"
"119","AMD","2012",264,1375,768,4.4,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"121","AMD","2014",264,1375,0,4.3,"GDDR5","4096x2160",11.2,28,3072,5,384,"Yes","No","No","Yes"
"122","AMD","2014",240,1250,0,4.2,"GDDR5","4096x2160",11.1,28,3072,5,384,"Yes","No","No","Yes"
"123","AMD","2012",28.8,900,0,4.2,"DDR3","2560x1600",11,40,1024,5,128,"Yes","No","No","No"
"130","AMD","2012",240,1250,768,4.4,"GDDR5","4096x2160",12,28,6144,5,384,"Yes","No","No","Yes"
"131","AMD","2008",108.8,850,0,3,"GDDR5","2560x1600",10.1,55,2048,4,256,"Yes","No","No","No"
"132","AMD","2010",128,1000,0,4,"GDDR5","2560x1600",11,55,2048,5,256,"Yes","No","No","No"
"133","AMD","2007",51.2,800,0,3,"GDDR3","2560x1600",10.1,55,2048,4,256,"Yes","No","No","No"
"135","AMD","2008",63.6,993,0,3,"GDDR3","2560x1600",10.1,55,1024,4,256,"Yes","No","No","No"
"165","AMD","2009",134.4,1050,0,3.3,"GDDR5","2560x1600",10.1,55,1024,4.1,256,"Yes","No","No","Yes"
"167","AMD","2009",134.4,1050,0,3.3,"GDDR5","2560x1600",10.1,55,1024,4.1,256,"Yes","No","No","No"
"169","AMD","2009",128,1000,0,3.3,"GDDR5","2560x1600",10.1,55,1024,4.1,256,"Yes","No","No","Yes"
